FAILURE_TYPE,POTENTIAL_PRICE,STATUS,DAYS_TO_POTENTIAL
2,0.42595471977715055,3,0.7775628626692457
1,0.42595471977715055,2,0.11798839458413926
2,0.7277648660528832,2,0.6537717601547388
0,0.8101590359861581,0,0.7504835589941973
1,0.07394348583755449,1,0.17794970986460348
3,0.5000994123788889,2,0.4912959381044487
1,0.3417496889662212,3,0.41392649903288203
2,0.5618698889833221,0,0.47001934235976783
3,0.9087503504362308,3,0.3268858800773694
2,0.30412402406384653,3,0.47001934235976783
3,0.6067389973963144,0,0.41586073500967113
2,0.8171006693505,0,0.5938104448742746
2,0.24999940449839847,1,0.7582205029013539
1,0.09758528062915353,1,0.6054158607350096
3,0.8499979752945548,3,0.44294003868471954
1,0.27907378192296073,1,0.28239845261121854
3,0.344264773518519,1,0.4003868471953579
3,0.9560339400194289,1,0.7582205029013539
3,0.11348061499967545,2,0.14893617021276595
2,0.6855114455742806,3,0.4874274661508704
0,0.8972815648777529,0,0.6731141199226306
1,0.8460744433929703,1,0.33268858800773693
1,0.8102596393682501,2,0.5493230174081237
0,0.07152900466734861,3,0.3500967117988395
1,0.5742441049806272,3,0.44680851063829785
0,0.2232389048619502,0,0.41779497098646035
0,0.6644853387170712,3,0.28239845261121854
2,0.5441636937351458,3,0.20116054158607352
3,0.3120716912491075,1,0.4893617021276595
0,0.6220307114742848,3,0.3752417794970987
1,0.6971814378969422,3,0.7620889748549323
0,0.7554307961281587,3,0.31721470019342357
2,0.13470792862106865,2,0.3520309477756286
3,0.6248476061728583,3,0.5222437137330754
1,0.3469810648350006,1,0.5647969052224371
0,0.09808829753961308,0,0.4893617021276595
1,0.07102598775688906,3,0.35976789168278533
3,0.40744369747223896,2,0.4932301740812379
3,0.8796759730116686,3,0.22823984526112187
1,0.977361857022914,2,0.5299806576402321
1,0.7576440705341807,3,0.3771760154738878
0,0.2714279248839755,2,0.2688588007736944
2,0.001307843967194841,1,0.47969052224371367
3,0.806939727759217,2,0.44680851063829785
1,0.5459745546128002,1,0.6073500967117988
2,0.8651890859904334,0,0.8549323017408124
3,0.8404406539958234,1,0.9806576402321082
3,0.46106530012722746,3,0.632495164410058
2,0.6470809536151706,2,0.6479690522243714
1,0.26609594563310424,3,0.33462282398452614
0,0.05633789397147008,3,0.05415860735009671
3,0.11911440439682246,2,0.39071566731141205
2,0.7821912957646069,1,0.021276595744680854
3,0.44818806721946286,3,0.8452611218568665
2,0.14114654507495095,1,0.7949709864603481
2,0.1166999232266166,1,0.4274661508704062
1,0.9964764996203771,1,0.5764023210831721
0,0.5500992932785685,0,0.5241779497098645
3,0.894967687089639,2,0.24758220502901354
1,0.22263528456939874,3,0.7736943907156673
0,0.9802793551035794,1,0.7620889748549323
2,0.5481878290188222,2,0.5570599613152805
3,0.6185095931010679,0,0.03481624758220503
1,0.24889276729538745,1,0.8762088974854932
0,0.583499616133083,2,0.5918762088974855
2,0.2772629210453063,2,0.13152804642166344
0,0.05422522294753995,0,0.5029013539651838
2,0.6423525946568508,3,0.528046421663443
0,0.20070374727336215,2,0.7524177949709865
3,0.8524124564647607,2,0.690522243713733
0,0.3348080556018793,3,0.24564796905222439
0,0.17655893557130356,3,0.30754352030947774
3,0.46277555762278993,2,0.3191489361702128
0,0.9174022412961351,3,0.6189555125725338
3,0.6840023948429019,1,0.5125725338491296
0,0.4914475215189845,3,0.30947775628626695
2,0.14708214461837368,3,0.8336557059961315
3,0.7890323257468569,3,0.47582205029013536
2,0.6716281788455969,3,0.39458413926499036
1,0.42102515405464697,0,0.655705996131528
1,0.6238415723519393,2,0.8858800773694391
2,0.6247470027907664,1,0.5029013539651838
1,0.46005926630630833,3,0.7949709864603481
0,0.7193141819571627,3,0.23597678916827855
0,0.07434589936592212,0,0.28046421663442944
2,0.7894347392752245,0,0.5377176015473888
2,0.982895043037969,2,0.6769825918762089
0,0.4650894354109039,3,0.8259187620889749
0,0.288932913367968,2,0.31721470019342357
0,0.2991944583413429,3,0.33655705996131524
0,0.6028154654947299,0,0.41392649903288203
1,0.9215269799619035,3,0.495164410058027
0,0.27675990413484675,2,0.23597678916827855
1,0.8477847008885327,2,0.47582205029013536
0,0.14879240211393616,2,0.46808510638297873
1,0.031086445066400455,1,0.4835589941972921
1,0.8834989015311612,3,0.44100580270793033
0,0.5000994123788889,3,0.9922630560928433
0,0.4041237858632059,1,0.402321083172147
3,0.7717285440270482,2,0.7891682785299806
3,0.6040227060798328,0,0.36170212765957444
3,0.027364119928999755,2,0.5319148936170213
3,0.3101602269893612,2,0.632495164410058
3,0.45130677206431213,2,0.6866537717601547
1,0.8519094395543011,3,0.9226305609284332
0,0.2874238626365893,0,0.7311411992263056
2,0.0018108608776543954,0,0.39264990328820115
2,0.633097083504395,0,0.6499032882011605
1,0.5783688436463955,2,0.7021276595744681
0,0.451407375446404,0,0.9090909090909091
1,0.538328697573815,2,0.862669245647969
1,0.9608629023598406,3,0.11025145067698261
3,0.3042246274459384,1,0.7001934235976789
3,0.7018091934731702,0,0.7388781431334622
1,0.07243443510617582,0,0.7582205029013539
2,0.15070386637368247,1,0.36943907156673117
2,0.36176976200251143,3,0.44100580270793033
0,0.48309744080535594,1,0.6653771760154739
0,0.3409448619094859,2,0.3810444874274661
3,0.11891319763263863,1,0.1160541586073501
1,0.2435607880445162,2,0.6866537717601547
3,0.09496959269476385,1,0.8355899419729207
3,0.1278668986388187,1,0.8723404255319148
3,0.3899387089882465,2,0.6866537717601547
1,0.35905347068602983,1,0.4622823984526112
0,0.2682086166570343,1,0.47388781431334626
3,0.0879273559483301,0,0.39651837524177946
3,0.4135805037798455,0,0.23017408123791103
1,0.6544250005078801,1,0.6692456479690522
3,0.2549289702209021,0,0.10058027079303675
1,0.4095563684961691,1,0.460348162475822
0,0.9419494665265613,3,0.6576402321083172
3,0.7639820836059711,2,0.8704061895551257
3,0.24979819773421466,2,0.2649903288201161
0,0.3833994891522723,2,0.0
2,0.8346056578344925,2,0.39458413926499036
1,0.7558332096565262,0,0.9071566731141198
0,0.9920499508083329,0,0.4390715667311412
0,0.010261544973374908,3,0.4294003868471954
3,0.8299779022582646,1,0.4313346228239845
1,0.13551275567780394,0,0.8433268858800773
3,0.7867184479587429,2,0.31721470019342357
1,0.04808841663993339,1,0.6131528046421664
1,0.2824942969140857,0,0.5667311411992263
1,0.7482879559996329,1,0.5125725338491296
3,0.9813859923065904,3,0.7001934235976789
2,0.5220309496749255,2,0.4332688588007737
1,0.31649824006115157,2,0.781431334622824
0,0.7957727523470148,3,0.13152804642166344
1,0.3733391509430812,1,0.20116054158607352
2,0.5716284170462375,2,0.26305609284332687
0,0.6371212187880715,1,0.6344294003868471
0,0.5866183209779322,0,0.8800773694390716
3,0.8119698968638125,3,0.19922630560928437
3,0.3556329556949049,1,0.2688588007736944
0,0.6164975254592298,3,0.6769825918762089
0,0.3215284091657471,3,0.5299806576402321
0,0.9381265380070688,0,0.19922630560928437
3,0.9668991052853553,0,0.7350096711798839
3,0.4958740703310286,2,0.47001934235976783
2,0.37957656063277967,2,0.5899419729206963
0,0.17736376262803885,0,0.6499032882011605
1,0.7961751658753825,3,0.8916827852998066
0,0.8052294702636545,3,0.769825918762089
0,0.28370153749918864,2,0.36557059961315286
0,0.36086433156368425,0,0.5918762088974855
2,0.10663958501742551,2,0.38684719535783363
3,0.30211195642200833,3,0.816247582205029
2,0.3958743085316692,3,0.23984526112185686
3,0.6205216607429062,2,0.5048355899419729
3,0.07635796700776035,0,0.6286266924564796
3,0.7482879559996329,2,0.7098646034816247
3,0.8344044510703087,1,0.20309477756286268
1,0.7339016723604898,0,0.7021276595744681
2,0.12203190247748787,1,0.4584139264990329
0,0.266297152397288,3,0.22630560928433271
3,0.2833997273529129,3,0.8433268858800773
2,0.13410430832851716,2,0.3520309477756286
3,0.5661958344132743,3,0.2688588007736944
2,0.9236396509858336,3,0.6537717601547388
0,0.4216287743471984,1,0.5725338491295938
1,0.7647869106627063,2,0.06576402321083172
1,0.07494951965847359,2,0.9381044487427467
3,0.867905377306915,3,0.7446808510638298
2,0.7360143433844198,1,0.3771760154738878
2,0.9426536902012047,2,0.7311411992263056
0,0.011066372030110194,0,0.2998065764023211
2,0.04416488473834887,2,0.38684719535783363
2,0.710964101243534,2,0.5299806576402321
1,0.8380261728256174,3,0.28626692456479697
0,0.06931573026132658,0,0.5241779497098645
3,0.6934591127595415,0,0.620889748549323
